CLID,CLSZ,GOID,NodeSize,SampleMatch,Phyper,Padj,Term,Ont,SampleKeys
1,29,GO:0047800,5,2,9.46E-06,3.78E-05,cysteamine dioxygenase activity,MF,AT5G15120 AT5G39890
1,29,GO:0015129,1,1,0.000993561720053604,0.00397424688021442,lactate transmembrane transporter activity,MF,AT2G34390
1,29,GO:0004451,2,1,0.00198617572414694,0.00794470289658777,isocitrate lyase activity,MF,AT3G21720
1,29,GO:0005344,3,1,0.00297784287863456,0.0119113715145382,oxygen transporter activity,MF,AT2G16060
1,29,GO:0004737,6,1,0.00594717189663729,0.0237886875865492,pyruvate decarboxylase activity,MF,AT4G33070
1,29,GO:0016157,6,1,0.00594717189663729,0.0237886875865492,sucrose synthase activity,MF,AT3G43190
1,29,GO:0030976,6,1,0.00594717189663729,0.0237886875865492,thiamine pyrophosphate binding,MF,AT4G33070
1,29,GO:0045300,7,1,0.00693506030109714,0.0277402412043886,acyl-[acyl-carrier-protein] desaturase activity,MF,AT1G43800
1,29,GO:0003950,8,1,0.0079220061763694,0.0316880247054776,NAD+ ADP-ribosyltransferase activity,MF,AT5G62520
1,29,GO:0004022,10,1,0.00989307378587045,0.0395722951434818,alcohol dehydrogenase (NAD) activity,MF,AT1G77120
1,29,GO:0009061,9,5,1.50E-13,1.05E-12,anaerobic respiration,BP,AT1G19530 AT1G33055 AT3G27220 AT5G10040 AT5G15120
1,29,GO:0070482,21,4,7.37E-09,5.16E-08,response to oxygen levels,BP,AT1G77120 AT2G34390 AT2G47520 AT2G16060
1,29,GO:0015727,1,1,0.00111754140890041,0.00782278986230289,lactate transport,BP,AT2G34390
1,29,GO:0005886,1824,7,0.00174205209115906,0.0104523125469544,plasma membrane,CC,AT1G76650 AT1G77120 AT3G43190 AT4G27450 AT2G34390 AT2G16060 AT3G03270
2,51,GO:0010295,4,2,1.96E-05,0.000195720062075997,(+)-abscisic acid 8'-hydroxylase activity,MF,AT4G19230 AT5G45340
2,51,GO:0016174,4,2,1.96E-05,0.000195720062075997,NAD(P)H oxidase activity,MF,AT5G47910 AT1G09090
2,51,GO:0031406,70,3,0.000287268885030775,0.00287268885030775,carboxylic acid binding,MF,AT3G28480 AT4G22780 AT2G47730
2,51,GO:0004459,1,1,0.0018281535648994,0.018281535648994,L-lactate dehydrogenase activity,MF,AT4G17260
2,51,GO:0004555,1,1,0.0018281535648994,0.018281535648994,"alpha,alpha-trehalase activity",MF,AT4G24040
2,51,GO:0009687,21,2,0.000648149884148872,0.00648149884148872,abscisic acid metabolic process,BP,AT4G19230 AT5G45340
2,51,GO:0005993,1,1,0.00179604869287608,0.0179604869287608,trehalose catabolic process,BP,AT4G24040
2,51,GO:0009413,1,1,0.00179604869287608,0.0179604869287608,response to flooding,BP,AT5G20830
2,51,GO:0048838,2,1,0.00358894315319447,0.0358894315319447,release of seed from dormancy,BP,AT4G19230
2,51,GO:0005774,465,5,0.000930091693442229,0.00930091693442229,vacuolar membrane,CC,AT1G11580 AT2G47730 AT3G28480 AT5G19550 AT5G58070
3,75,GO:0003700,1680,12,0.00167026775137168,0.0233837485192036,sequence-specific DNA binding transcription factor activity,MF,AT1G77950 AT3G16770 AT4G36540 AT5G02840 AT1G18330 AT1G77450 AT2G27300 AT3G03660 AT3G07650 AT4G01120 AT5G44260 AT1G68240
3,75,GO:0016762,27,2,0.00241800439580898,0.0338520615413258,xyloglucan:xyloglucosyl transferase activity,MF,AT3G48580 AT4G30270
3,75,GO:0003868,1,1,0.00270248787854699,0.0378348302996578,4-hydroxyphenylpyruvate dioxygenase activity,MF,AT1G06570
3,75,GO:0008843,1,1,0.00270248787854699,0.0378348302996578,endochitinase activity,MF,AT4G19810
3,75,GO:0009703,1,1,0.00270248787854699,0.0378348302996578,nitrate reductase (NADH) activity,MF,AT1G37130
3,75,GO:0016168,32,2,0.00338727462468842,0.0474218447456379,chlorophyll binding,MF,AT1G29910 AT2G34430
3,75,GO:0048586,6,2,9.27E-05,0.0018546442848877,"regulation of long-day photoperiodism, flowering",BP,AT1G22770 AT3G07650
3,75,GO:0007623,64,3,0.000565835556538448,0.011316711130769,circadian rhythm,BP,AT1G22770 AT5G02840 AT1G18330
3,75,GO:0009725,910,8,0.0019414971461778,0.038829942923556,response to hormone stimulus,BP,AT5G19140 AT4G09610 AT4G30270 AT3G16770 AT1G18330 AT5G02840 AT1G18100 AT4G19810
3,75,GO:0009765,26,2,0.0019451150551073,0.0389023011021461,"photosynthesis, light harvesting",BP,AT1G29910 AT2G34430
3,75,GO:0030076,25,2,0.00157600163508854,0.0236400245263281,light-harvesting complex,CC,AT1G29910 AT2G34430
4,53,GO:0004474,1,1,0.00194738097130598,0.0233685716556717,malate synthase activity,MF,AT5G03860
4,53,GO:0005102,38,2,0.00249735302446395,0.0299682362935674,receptor binding,MF,AT4G18510 AT1G13590
