ID,Cluster,ClusterSize,locus,description,Coregenes_Mustroph2009,Cluster1genes_Lee2011,prt6-1seedAirUP,ate1ate2SeedlingAirUP,prt6-1SeedlingAirUP,TFfamily,comment2,prt6seedvsWTseed_Log2signal,ate1ate2NSvsWTNS_Log2signal,prt6NSvsWTNS_Log2signal,ate1ate2HSvsWTHS_Log2signal,prt6HSvsWTHS_Log2signal,WTHSvsWTNS_Log2signal,ate1ate2HSvsate1ate2NS_Log2signal,prt6HSvsprt6NS_Log2signal,prt6seedvsWTseed_adj-p,ate1ate2NSvsWTNS_adj-p,prt6NSvsWTNS_adj-p,ate1ate2HSvsWTHS_adj-p,prt6HSvsWTHS_adj-p,WTHSvsWTNS_adj-p,ate1ate2HSvsate1ate2NS_adj-p,prt6HSvsprt6NS_adj-p
245173_at,1,29,AT2G47520,"AP2 domain-containing transcription factor, putative",Core cell type,Core low oxygen,Up,Up,Up,AP2-EREBP,,1.808366836,2.78662037,2.531395257,0.700616095,0.748573874,3.451872087,1.365867812,1.669050704,1.17E-07,7.12E-09,2.90E-08,0.044943327,0.021509177,2.83E-10,0.000145964,1.01E-05
245226_at,1,29,AT3G29970,germination protein-related,NA,Core low oxygen,Up,Up,Up,,,3.055268374,6.837032885,6.208523117,5.554811764,4.976357911,1.415427902,0.133206782,0.183262695,4.63E-09,3.21E-12,7.57E-12,8.99E-11,5.19E-10,0.000727168,0.925707094,0.891478493
247024_at,1,29,AT5G66985,unknown protein,Core cell type,Core low oxygen,Up,Up,Up,,,1.838314133,3.387518244,3.186844306,0.636307355,0.68702155,3.756935623,1.005724734,1.257112867,1.89E-09,5.77E-12,1.53E-11,0.008909145,0.004274629,1.09E-12,0.000125372,6.04E-06
247431_at,1,29,AT5G62520,SRO5 (SIMILAR TO RCD ONE 5); NAD+ ADP-ribosyltransferase,Core cell type,Core low oxygen,Up,Up,,,,1.554775402,1.518374499,0.829919506,0.047852958,0.459225924,4.697536489,3.227014948,4.326842907,4.23E-06,0.000164516,0.030105339,0.995820191,0.309016668,3.16E-11,7.58E-08,1.42E-09
249384_at,1,29,AT5G39890,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G15120.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14912.1); contains InterPro domain Protein of unknown function DUF1637 (InterPro:IPR012864),Core cell type,Core low oxygen,Up,Up,Up,,,1.163770614,3.452104973,3.437991757,0.57784717,0.729850215,4.134218402,1.259960599,1.42607686,4.62E-06,5.19E-11,5.93E-11,0.065764438,0.011484479,3.97E-12,9.12E-05,1.35E-05
250152_at,1,29,AT5G15120,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G39890.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14912.1); contains InterPro domain Protein of unknown function DUF1637 (InterPro:IPR012864),Core cell type,Core low oxygen,,Up,Up,,,0.692913933,3.864496843,3.647529662,0.484419519,0.619156881,3.765639306,0.385561981,0.737266525,0.000216168,3.72E-12,7.57E-12,0.07494115,0.012297699,1.72E-12,0.198505497,0.002578985
250464_at,1,29,AT5G10040,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G65207.1); similar to 80A08_3 [Brassica rapa subsp. pekinensis] (GB:AAZ67588.1),Core cell type,Core low oxygen,,Up,Up,,,0.302189264,2.526412457,1.853822537,-0.165954039,0.044309603,5.87976263,3.187396134,4.070249696,0.229604647,3.01E-07,2.07E-05,0.954330259,0.97981165,1.72E-12,7.58E-08,2.03E-09
252746_at,1,29,AT3G43190,"SUS4; UDP-glycosyltransferase/ sucrose synthase/ transferase, transferring glycosyl groups",Core cell type,Core low oxygen,,Up,Up,,,0.856552037,3.892999265,3.618772254,2.023892744,2.070873362,2.653260097,0.784153576,1.105361205,5.41E-05,4.78E-12,1.53E-11,2.51E-07,1.41E-07,6.22E-10,0.004106651,9.79E-05
252882_at,1,29,AT4G39675,unknown protein,Core cell type,Core low oxygen,Up,Up,Up,,,5.839558199,6.071581137,6.003280257,3.240256885,3.100325451,3.289444124,0.458119871,0.386489318,1.23E-11,5.65E-11,8.03E-11,1.69E-06,2.32E-06,3.00E-07,0.603341069,0.687268193
253298_at,1,29,AT4G33560,unknown protein,Core cell type,Core low oxygen,Up,Up,Up,,,3.572660789,3.226134923,2.874806825,0.701164511,0.674295448,3.53143984,1.006469429,1.330928463,1.39E-12,5.19E-11,2.55E-10,0.011220656,0.012107185,1.16E-11,0.000383122,1.34E-05
253416_at,1,29,AT4G33070,"pyruvate decarboxylase, putative",Core cell type,Core low oxygen,Up,Up,Up,,,1.737716555,4.026187491,3.286881386,-0.15719133,0.046472809,5.86856368,1.685184859,2.628155104,1.83E-08,3.90E-12,5.31E-11,0.902200985,0.968762494,5.35E-14,1.74E-06,4.14E-09
